spread_id,technical,style,notes
s-059-002,7,5,"Left page two-col French Holiday Recipes (Anne Elder - Chocolate & Zucchini) dense food essay good fill ~95%. Right page single-col Dynamic linking best practices (Joe Nelson) tech tutorial with definition-list structural elements creating texture ~95%. Content type contrast (food vs tech) works well."
s-039-010,6,4,"Left page two-col Capturing Early Signs of Spring + 2009 Toyota Vellfire articles good fill ~95%. Right page single-col Parkinson's Law of Worry essay (Jakub Holmel - LessWrong) ending with ANALYSIS section header ~75% fill. Mixed templates with section transition adds rhythm."
s-055-006,7,4,"Left page two-col Jason Biggs Directorial Debut UNTITLED HOME INVASION ROMANCE + Advanced Swift fifth edition book announcement good fill ~95%. Right page two-col Harry loves FANTASTIC FOUR FIRST STEPS film + Ina Garten Lemon Tart food article good fill ~95%. Both pages dense matched two-col walls."
s-090-014,3,2,"Left page broken — single pull quote (Then we && that with the potentially falsy value...) only ~5% fill. Right page two-col Åpen fagkveld hjemme hos FINN + Finn.no monolith split (Finn.no Tech) with definition-list structure good fill ~95%. Catastrophic spread imbalance."
s-038-002,7,5,"Left page two-col How to prove false statements? Part 1 (Matthew Green Cryptography) dense math essay good fill ~95%. Right page two-col Fragments: February 18 (Martin Fowler) with ✻✻ section dividers creating distinct visual rhythm ~95%. Section dividers add productive friction right."
s-058-002,6,3,"Left page two-col Emulating Ruby's Benchmark.real_time Python tutorial (Scott Johnson) with code blocks providing texture ~95%. Right page two-col Instagram and Facebook deliver instant playback Media3 PreloadManager (Android Developers Blog) ~95%. Both pages dense matched walls; code adds mild texture."
s-095-002,6,3,"Left page single-col Heliotrope tucks False Bay house Washington island (Jenna McKnight - Dezeen Architecture) with project credits list at bottom adding mild texture ~95% fill. Right page single-col A thesis week (Petr Mitrichev competitive programming) ~85% fill. Both pages dense single-col walls; project credits add light texture left."
s-034-003,7,3,"Left page single-col My Home Automation setup (Bruno Rocha - SwiftRocks) dense personal tech essay ~95%. Right page single-col Squashing (John Gruber - Daring Fireball) dense Apple commentary essay ~95%. Both pages dense single-col gray walls — no visual variety, interchangeable density."
s-047-002,7,5,"Left page two-col Year in Review: 2020 into 2021 (Tania Roscia) personal essay good fill ~95%. Right page two-col Using OAuth with PKCE Authorization Flow tutorial with parameter listings (Grant Type Application type Example) creating texture ~95%. Personal essay vs technical reference creates content variety."
s-088-008,7,5,"Left page three-col Moving climate interest to action (Mary Hoff - Ensia) + Valorization of waste pharmaceutical residues via pyrolysis biochar (PLOS ONE) with technical chemistry formatting good fill ~95%. Right page two-col My search for Sachertorte in Vienna travel essay (Susan Smillie - Guardian Travel) + Emission-reduction cooperation tech essay good fill ~95%. Multi-article spread with strong content variety."
s-097-005,7,5,"Left page two-col How Horses Shaped the Mughal Empire (Livia Gershon - JSTOR Daily) historical essay good fill ~95%. Right page two-col Module Federation Pipeline Part 1 (Naman Saini - Housing.com Engineering) tech tutorial with code blocks providing strong texture good fill ~95%. History vs tech content contrast with code texture."
s-030-005,4,3,"Left page three-col multi-article briefs (Architect's Ruble Yudell Chu-Gooding deCancillis Brownstone + Power Broker #2 Jamelle Bouie + Return of Con Law + Yankee Pyramids - Throughline NPR podcast briefs) ~95% fill. Right page sparse two-col continuation of Con Law + Power Broker tails ~25% fill with vast dead space. Spread imbalance from underfilled right tail."
s-063-005,3,3,"Left page tail of Admob NativeScript article ~30% fill ending with ANALYSIS section header. Right page two-col tail of TPDP Episode #7 Internet of Things ~40% fill with vast dead space. Both pages are tail/continuation underfilled — broken transitional spread."
s-045-003,7,5,"Left page two-col Trump Won't Stop Because He Can't Look Weak (Jonathan V. Last - The Bulwark) + Disturbing Trailer #2 Faces of Death Horror with Barbie Ferreira good fill ~95%. Right page two-col Fortnite Festival's Official Guitar Controller (GameSpot) + This week's news in Venn diagrams (James Folta - Literary Hub) good fill ~95%. Multi-article spread with content variety (politics + horror film + gaming + literary)."
s-046-004,7,5,"Left page single-col Dockerizing a Rails application tutorial (Lazarus Lazaridis - Indelaki) with extensive code blocks providing strong texture ~95%. Right page two-col Underlying structure measurement invariance state trait anxiety (PLOS ONE) + Book Review Accelerate Science of Lean Software (Dean Hume) good fill ~95%. Mixed templates: dense code-heavy single-col vs two-col multi-article."
s-053-002,7,4,"Left page two-col Creating a Rails App Using JumpStart Pro tutorial (Scott Johnson) with code blocks and step-by-step structure good fill ~95%. Right page two-col Filtering as domain logic essay (Mark Seemann - ploeh blog) with section headers (Motivation # / How it works # / Encapsulation #) creating rhythm ~95%. Both pages tutorials; section headers add mild rhythm right."
s-036-003,7,6,"Left page single-col HP Launches Next-Gen LaserJet Printers with Quantum-Resistant Security (David Wilson - Small Business Trends) ~95% fill dense single-col. Right page two-col multi-article briefs (Weekly Update 490 + No one is happy with NASA + How to detect Safari iOS versions + Optimistic UI in Rails + A Knock at the Door + Tutorialkit.rb) ~95%. Strong template contrast (long-form left vs rich multi-article right) creates editorial dialogue."
s-080-003,7,4,"Left page single-col 9 Exercises for A Sagging Neck (Greatist) with numbered steps creating distinct rhythm ~95% fill. Right page single-col Eating More Ultra-Processed Foods Could Damage Your Bones (HealthShine) ~95% fill dense gray wall. Numbered structure left adds texture; right is uniform wall."
s-091-003,3,2,"Left page two-col A New HBO Series The Dark Wizard Examines Life and Death of Climbing Legend Dean Potter (Outside Magazine) + Try a Browser Sandbox (Peteris Krumins - catonmat) good fill ~95%. Right page broken — single pull quote (If the attachment contains malware...) + ANALYSIS section header only ~10% fill. Catastrophic spread imbalance."
s-082-003,7,5,"Left page single-col Pytest parameter functions tutorial (Test Easy Twister) with extensive code blocks providing strong code texture ~95% fill. Right page single-col New Footage Shows Wanted Kinahan Cartel Kingpins Post-Sanctions (Bellingcat - Financial Investigations Team) dense investigative journalism ~95% fill. Tech vs investigative journalism content variety; code anchors left."
s-099-002,7,5,"Left page two-col How love for food made me participate in HackaNoodle? (Shakti Prasad SS - Blinkit Lambda) personal essay good fill ~95%. Right page two-col MINI Countryman Adventure Packages (Steven Paul - BMW Blog) + Early contraceptive discontinuation Ethiopia (PLOS ONE) good fill ~95%. Mixed templates with content variety (food essay + auto + healthcare research)."
s-075-004,5,4,"Left page two-col multi-article Throughline NPR podcast briefs (Shadows of the Constitution + Crimson Desert + I was the untitled goose in Big Walk + The X On The Map) ~95% fill. Right page two-col continuation podcast briefs (A History of Zionism + The Rules of War) shorter ~50% fill with bottom dead space. Multi-article rhythm left + sparse tail right; mild imbalance."
s-025-003,7,5,"Left page two-col Pittsburgh's post-steel economy success (Christopher Briem - Conversation US) with embedded blockquote anchor (Workers and their families value regional amenities...) creating visual interruption ~95% fill. Right page single-col Celebrating Legacy of Office of Strategic Services 82 Years On (Major Nicholas Dockery - HistoryNet) ~95% fill. Pull quote anchors left; mixed templates with content variety."
s-089-003,3,3,"Left page single-col GRT test noom med epm (Greatist - Noom Med promotional content) repetitive ad-like medication-pricing list format ~95% fill. Right page two-col When .animation animates more than supposed to (Ole Begemann SwiftUI tutorial) with code blocks but visible double-print/overlap rendering artifact at bottom-right corner. Repetitive promo content left + render artifact right."
s-043-002,7,5,"Left page single-col Achieving Test Reliability for Native E2E Testing (Jin Kim - Docker Blog) dense tutorial ~95%. Right page two-col How architects design airports for superlong security lines (Nate Berg - Fast Company Design) with embedded blockquote anchor (Osbaugh, who's been designing airport projects since September 11...) creating visual interruption ~95%. Pull quote anchors right; mixed templates with content variety."
s-056-003,4,3,"Left page single-col Crimson Desert fans praise devs for addressing player complaints (Andriy Bezruk - DexExtra) gaming article ~70% fill with bottom dead space. Right page single-col Top 7 Best Wordpress Plugin Of All Time (TechCrunch) with numbered structure but visible double-print/overlap rendering artifact at bottom margin. Mild imbalance left + rendering bug right."
s-093-003,7,5,"Left page two-col The Invention of Zero: How Ancient Mesopotamia Created the Mathematical Concept of Nought (Maria Popova - The Marginalian) good fill ~95%. Right page two-col Mailbag #2 (Tim Urban - Wait But Why) Q&A format with questioner attribution creating dialogue rhythm good fill ~95%. History essay + Q&A format mix creates strong editorial variety."
s-028-003,5,4,"Left page two-col People Who Eat More Red Meat May Have Higher Risk of Type 2 Diabetes (HealthShine) good fill ~95%. Right page three-col multi-article (Meta & Google Found Liable + Headlines for March 27 2026 Democracy Now! + IN BRIEF column with multiple briefs) with double-print/overlay artifact at bottom-right ~95%. Multi-article variety right; rendering artifact drags spread."
s-094-002,3,2,"Left page single-col NYT Connections Sports Edition today: Hints and answers (Mashable Tech) Q&A puzzle answers format with category lists creating mild structure ~95% fill. Right page broken — single pull quote (Additionally, each group is color-coded with yellow being the easiest...) only ~5% fill, vast dead space. Catastrophic spread imbalance from broken right page."
s-086-004,7,4,"Left page two-col How to use std::span in C++20 tutorial (Bartlomiej Filipek - C++ Stories) with extensive code blocks providing strong texture ~95%. Right page two-col What Will It Take to Build the World's Largest Data Center? (Matthew Smith - IEEE Spectrum) ~95%. Both two-col walls; code anchors left; mild content variety (how-to vs feature)."
s-022-003,6,5,"Left page two-col In Switzerland sledge between two railway stations (Guardian Travel) + miso chicken and rice recipe with bottom pull quote anchor ~95% fill. Right page two-col No cars unspoilt beaches Holy parades earthly pleasures Spain Walking with weavers Children see magic Scotland Guardian Travel multi-article briefs with multiple Continue reading links creating rhythm ~95%. Multi-article travel briefs with anchor pull quote — strong editorial spread."
s-049-013,7,4,"Left page two-col Akka workshop at Finn.no + Åpen fagkveld hjemme hos FINN tech meeting agendas (Finn.no Tech) with timestamp-prefixed agenda items creating distinct list rhythm good fill ~95%. Right page two-col New PHP library: PHPoAuthUserData tutorial (Luciano Mammino) with code blocks + Åpen studentkveld hjemme hos FINN agenda good fill ~95%. Agenda timestamps + code provide texture both sides."
s-077-004,5,4,"Left page three-col HBR multi-article briefs (How Government and Business Can Tackle Big Global Crises + How to Lead with Courage in Chaotic Times + What Black Leaders Bring to the Table + A balancing paradigm Total War: Medieval 3 + When Your Employee Is Underperforming) good fill ~95%. Right page sparse three-col continuation briefs (Apple Now Requires Device-Level Age Verification + Suck my toes my darling pull quote + short tail items) ~50% fill ending with ANALYSIS section header. Rich multi-article left + sparse continuation right; mild imbalance."
s-096-014,1,1,"Left page broken — single pull quote (Apple didn't specify exactly which services and features are banned for under-18 users...) + BRIEFS section header only ~10% fill, vast dead space. Right page broken — Atlantic Gazette colophon footer only ~3% fill mid-edition. Catastrophic structural failure on both sides."
s-061-004,3,2,"Left page two-col Russian Colonization in Alaska and The Pacific Northwest (George Levrier-Jones - History in 28 Minutes) historical essay good fill ~95%. Right page broken — single pull quote (The all-too-common clash of cultures kept increasing in intensity and atrocities...) only ~10% fill, vast dead space. Catastrophic spread imbalance."
s-068-002,7,4,"Left page single-col Ultrahuman's New Ring Pro Is Finally Available in the US (Beth Skwarecki - Lifehacker) product launch with structured pricing-tier list (first 1,000 orders / next 2,000 / etc.) creating texture ending with FEATURES section header ~95% fill. Right page single-col This Unlocked Pixel 10 Is $250 Off (Pradeshala Sharma - Lifehacker) deals listicle with multiple product/price line items creating distinct list rhythm ~95% fill. Structured price-list format provides texture both sides."
COMPLETED
