spread_id,technical,style,notes
s-070-002,6,4,"Left page recipe list (20 Sheet Pan Dinners) with repetitive structure creating rhythm. Right page policy article (Claude and the Constitution). Content type contrast works."
s-049-003,6,3,"Both pages two-col tech articles (Rust Sized Trait + Scala Spark scheduling) with good fill. Code examples provide texture but similar density across spread."
s-017-001,2,2,"Front page: masthead only ~15% fill — The Sunday Report with empty page. Right page tech article (RISC-V unbricking). Broken front page."
s-052-004,4,3,"Solo terminal page: two NPR Throughline articles ~45% fill with colophon footer. Content adequate but significant dead space below. Closing page acceptable but sparse."
s-060-004,6,3,"Both pages two-col articles (Dutch home architecture + Stack Overflow architecture) with good fill. Different domains but matched text-wall density."
s-042-002,6,3,"Both pages two-col health articles (cardiovascular risks + nose bumps) with good fill. Matched density — interchangeable pages with no visual dialogue."
s-031-010,6,3,"Both pages two-col tech articles (E2E test string types + email marketing costs) with good fill. Code on left provides mild texture. No visual anchors."
s-059-004,7,4,"Left page historical Trail of Tears article two-col. Right page batch-cooking recipe with checkbox ingredient list creating visual texture. Good content diversity and fill."
s-015-007,6,3,"Both pages two-col tech articles (MongoDB agility + movie recommendation engine) with good fill. Code snippets provide mild texture. Similar density."
s-057-003,6,3,"Both pages two-col articles (TIMM Architecture iron doors + United economy seats) with good fill. Different domains but similar treatment — no visual anchors."
s-089-002,5,2,"Left page L-Tyrosine supplements health article with lists. Right page Noom Med promotional content — repetitive ad-like copy. Low editorial quality on right drags spread."
s-096-004,6,4,"Left page medical narrative (Death in the Young) two-col. Right page product deal listings (Pixel Buds + tech deals) with price formatting. Content type contrast creates variety."
s-044-002,6,3,"Both pages two-col articles (Banyan Tree Mayakoba review + Israel politics) with good fill. Different topics but similar density. No visual variety."
s-087-003,6,4,"Left page Derek Sivers philosophical essay (Life is ______) with conversational format. Right page Hegseth military beard article. Distinctive essay voice creates personality."
s-057-012,6,3,"Both pages two-col articles (TSA travel gadgets + Italian dictionaries) with good fill. List-like content on both provides mild structure. Similar density."
s-063-006,7,5,"Both pages multi-article editorial layout (Angular Router + CSS Weekly Issue #635 + multiple short items). Multiple headlines and varied item lengths create newspaper rhythm."
s-060-010,3,2,"Left page two-col Dezeen architecture article (Islington House) good fill. Right page pull quote only ~10% fill — massive dead space. Extreme spread imbalance."
