spread_id,technical,style,notes
s-023-002,7,6,"Left page three-col multi-article HBR briefs (Dysfunctional Leadership + Stop Initiative Overload + 5 Weird Ways + Sarah Cooper + Dematerialization + Why Burnout) good fill. Right page three-col continuing HBR briefs + colophon footer. Strong multi-article rhythm across spread."
s-024-003,6,3,"Left page single-col Integrating Twig.js BazingaJsTranslationBundle JavaScript tutorial good fill. Right page two-col Building Developer-Friendly App Stack tutorial with code blocks good fill. Both pages dense gray walls."
s-029-002,4,2,"Left page three-col raw dbSNP BUILD 149 Release genomic data dump ~95% fill — database output not editorial content. Right page three-col CDC research releases briefs (A double prix week + 7 studies) with structured release-note format. Left page is data extract dragging spread."
s-032-004,6,3,"Left page two-col Cloudflare Workflows ASTs to visual diagrams tutorial with code blocks good fill. Right page single-col Some notes on upgrading Hugo article good fill. Both pages dense walls; code adds mild texture left."
s-035-004,6,3,"Left page two-col Are Doctors Heroes? medical narrative good fill. Right page two-col History will not remember us fondly opinion article good fill. Both pages dense gray walls similar density."
s-048-014,6,4,"Left page two-col Microblog: TestMain article ~85% fill. Right page two-col Sponsor:ViRE + Use internal packages two-article spread ~95% fill. Mild left imbalance; multi-article right adds mild rhythm."
s-050-005,6,5,"Left page three-col Closer Look at Art Basel Hong Kong + Generalized Language Models with [Updated] release-note pattern good fill. Right page three-col DOJ + DOGE + Jess Cartner-Morley fashion + Quick hack briefs + ANALYSIS section header. Multi-article variety with section break adds rhythm."
s-052-003,7,5,"Left page two-col Apple's Assault on Standards essay good fill. Right page three-col Becoming America NPR + dbVar December 2020 Release + IN BRIEF PubMed Health column. Mixed templates with content variety create editorial spread."
s-061-009,6,5,"Left page single-col 40 Summer Cake Recipes structured listing with reviews/total time/servings creating distinct typographic rhythm. Right page single-col Taste Test: Reposado Tequila article good fill. Recipe structure provides texture."
s-062-003,7,5,"Left page single-col What is performance? Antirez tech essay good fill. Right page two-col Redis as AP system + Getting Started ES6 Modules + IN BRIEF Math/Programming briefs column. Mixed templates work well."
s-066-002,3,2,"Left page narrow single-col How I backup Derek Sivers article ~50% page-width fill — text in narrow column with vast right-side dead space. Right page two-col Pen Pals + Daydreaming downside articles good fill. Broken left layout drags spread."
s-068-008,7,6,"Left page two-col What You Must Deliver to Win Customers + No Kings Rallygoers articles good fill. Right page two-col multi-article HBR briefs (Why Leaders Need to Value Retirement + Why Many Companies + What Kind of Networker + Real Leaders Oprah + Sarah Cooper + Cryptocurrency) good fill. Excellent multi-article spread."
s-069-006,6,4,"Left page two-col Four from MIT named 2026 Rhodes Scholars feature good fill. Right page two-col Analyzing S3 and CloudFront Access Logs with AWS RedShift tutorial with JSON snippets providing mild texture good fill."
s-073-002,5,3,"Left page single-col Philopappou Hill Pathways in Athens travel article ~85% fill with bottom dead space. Right page single-col Using Kamal 2.0 in Production tech article ~85% fill with bottom dead space. Both pages dense gray walls with mild bottom dead space."
s-076-002,5,3,"Left page single-col EFF to Wisconsin Legislature: VPN Bans article ~85% fill with bottom dead space. Right page two-col Tales From the Beat Episode 130: Competitive Paranoia article good fill. Mixed single-vs-two-col density."
s-077-002,6,3,"Left page two-col What is Blockchain: Everything You Need to Know article good fill. Right page two-col White House releases Trump's national AI plan article good fill. Both pages two-col matched gray walls."
s-081-002,6,3,"Left page single-col Three Regimes for Resilience essay good fill. Right page single-col Monkey Patch Detection in Ruby tutorial with code blocks providing mild texture good fill. Both pages dense single-col walls."
s-092-003,4,3,"Left page short single-col Gas price jump feels like a lot article ~25% fill ending with BRIEFS section header. Right page three-col IN BRIEF densely packed scientific journal briefs ~95% fill. Sparse left page with section break."
s-098-004,5,3,"Left page two-col Divided Dial + Chapter 4: List + Green Book redux + Stuccoed in Time podcast briefs ~75% fill. Right page two-col Freedom House Ambulance Service + Power Broker #11: Brennan Mulligan briefs ~55% fill with bottom dead space. Mild imbalance."
s-100-006,7,5,"Left page single-col 7 Principles of Inner Excellence with structured numbered headings (01:01, 33:59, etc.) creating rhythm good fill. Right page two-col The Forgotten Bombers WW2 article with embedded section-break sub-heading good fill. Numbered headings + section break add structural variety."
s-001-002,3,2,"Left page broken — pull quote ('A dull perusing of git log...') + Monica Dinculescu attribution only ~5% fill. Right page three-col Comedian Sarah Cooper + Why Companies Should Stop Political Spending + IN BRIEF column good fill. Catastrophic spread imbalance."
s-002-003,7,5,"Left page two-col 'Hitting Iran hard' Trump troops + Will US Enter Recession 2026 articles good fill. Right page three-col How To Talk Yourself Up + Brain Tech + Open Digital Platforms + In Defense of Middle Management HBR briefs good fill. Mixed multi-article spread."
s-003-012,6,4,"Left page single-col Personal tech, social media, decline of humanity MIT News article good fill. Right page two-col Episode 231 + Episode 158 + Memory Palace + Episode 92 podcast briefs good fill. Mixed templates create variety."
s-007-005,2,2,"Left page two-col In Praise of --dry-run programming article good fill ~95%. Right page broken — pull quote ('Downside The downside is that the dryRun -flag pollutes the code a bit.') only ~5% fill. Catastrophic spread imbalance."
s-008-003,6,4,"Left page two-col Validates Type 2.0 tutorial with code blocks good fill. Right page two-col Haskell Researchers Announce Discovery of Industry Programmer humor piece good fill. Code adds mild texture left."
s-010-006,7,5,"Left page single-col UPDATE: TSA to pay officers airport security article good fill. Right page three-col Crispy Chickpeas + The Dalrymple Report podcast + IN BRIEF column good fill. Mixed templates create editorial variety."
s-012-008,2,1,"Left page broken — BRIEFS section header only ~3% fill on otherwise empty page. Right page three-col IN BRIEF densely packed scientific journal briefs ~95%. Catastrophic structural failure on left."
s-014-005,6,4,"Left page single-col 10 Tips for Breathtaking Dog Action Photography how-to article with numbered tips creating mild rhythm good fill. Right page three-col Self-healing CMOS Imager + Jai Courtney Shark Horror briefs good fill. Mixed templates."
s-016-005,4,3,"Left page two-col Episode 919 + Episode 122 Memory Palace podcast briefs ~50% fill with bottom dead space. Right page two-col Island city-builder Nova Roma + 20 fabulous family spring days articles ~60% fill with bottom dead space. Both pages underfilled."
s-017-006,6,3,"Left page single-col Going off-script Drew Devault essay good fill. Right page single-col Archaeologists In Italy Found Necropolis with Bronze Belts archaeology article good fill. Both pages dense matched single-col walls."
s-018-011,3,2,"Left page two-col monica.css + Cat-DNS: learning about DNS with cats articles good fill. Right page broken — pull quote ('How to prevent a side stitch...') only ~5% fill. Catastrophic spread imbalance from underfilled right page."
s-019-004,3,2,"Left page broken — pull quote ('How to prevent a side stitch...') only ~5% fill. Right page two-col Text Neck Exercises: Simple Moves to Ease Digital Strain article good fill ~95%. Catastrophic spread imbalance."
